Jogador	Golos	Assistências	Duelos ganhos, %	Ações defensivas com êxito/90	Passes certos, %
Alan Grafite	2	1	36,67	4,1	77,95
Patric	10	1	39,77	2,98	61,61
Ricardo Santos	31	12	39,27	1,49	68,31
Charles	4	2	35,87	3,79	79,85
Rafael Silva	9	1	34,48	3,77	77,32
Felype Hebert	2	0	33,03	5,45	74,48
E. Paulista	10	2	36,93	2,35	71,88
Douglas Rosa	10	0	37,41	3,49	81,45
D. Vinicius	1	0	38,98	3,24	69,6
Lucão	1	1	33,8	6,03	59,73
Deyvison	8	3	37,27	3,58	72,71
Magno Cruz	10	6	38,08	2,82	83,68
João Leonardo	2	0	26,56	2,87	74,43
Stefan	20	0	42,31	3,94	73,44
Julio César	11	3	35,49	2,47	68,76
Élder Santana	6	6	41,81	3,84	72,22
Adílio Santos	3	0	36,96	4,7	77,6
Éder	11	4	39,16	2,01	78,53
Hygor	4	1	35,32	5,73	67,88
Derek	10	0	35,69	3,92	77,97
Lucas Gaúcho	0	0	33,64	2,43	65,48
Pedro Henrique	8	1	33,87	5,57	81,09
