Jogador	Equipe	Minutos jogados:	Golos	Assistências	Duelos ganhos, %	Altura	Duelos defensivos ganhos, %	Duelos aéreos ganhos, %	Interseções/90	Golos sem ser por penálti	Golos esperados/90	Golos de cabeça	Golos de cabeça/90	Remate	Remates à baliza, %	Golos marcados, %	Cruzamentos certos, %	Cruzamentos precisos do flanco esquerdo, %	Cruzamentos precisos do flanco direito, %	Dribles/90	Dribles com sucesso, %	Duelos ofensivos ganhos, %	Passes certos, %	Passes para a frente certos, %	Passes para trás certos, %	Passes laterais certos, %	Passes curtos / médios precisos, %	Passes longos certos, %	Passes inteligentes certos, %	Passes certos para terço final, %	Passes precisos para a área de penálti, %	Passes em profundidade certos, %	Passes progressivos certos, %
Igor Henrique	Vila Nova	2321	5	1	46,48	183	53,43	45,69	3,1	5	0,18	3	0,12	49	22,45	10,204	16,67	12,5	25	3,1	51,25	41,67	81,99	74,12	93,1	84,88	87,06	48,57	50	73,83	56,25	47,06	74,8
Olavio	Brusque	2664	14	3	28,73	184	50	29,56	1,07	12	0,38	5	0,17	73	39,73	17,808	75	0	66,67	1,45	45,24	23,38	74,89	57,45	85	70,21	75,85	50	0	66,67	66,67	33,33	60
Paulo Victor		751	6	1	36,07	180	63,64	31,48	1,44	6	0,5	0	0	25	60	24	20	33,33	0	5,39	46,67	31,97	88,19	90,91	95,83	79,49	91,67	50	0	88,89	75	0	100
Gleyson Oliveira	Gyeongnam	1955	11	2	37,14	186	59,74	35,23	2,39	11	0,28	5	0,23	34	47,06	32,353	25	0	33,33	1,66	36,11	33,56	69,17	47,78	91,46	74,49	71,09	60	42,86	50	41,67	40	65,63
Thiago Henrique	Ansan Greeners	765	1	1	39,35	186	48,39	44,68	2,94	1	0,18	0	0	23	30,43	4,348	45,45	45,45	0	4	47,06	35,19	71,55	50	81,97	76,25	73,68	58,33	0	75	33,33	20	70
Adílio Santos	Penafiel	1286	3	1	39,38	178	46,94	27,69	2,59	3	0,3	1	0,07	23	39,13	13,043	30	40	25	2,38	61,76	43,54	77,03	81,58	92,42	69,35	84,57	66,67	0	75	64	50	82,5
Élton	Remo	878	4	0	33,33	185	50	36,51	1,23	4	0,46	1	0,1	25	40	16	28,57	20	50	0,92	33,33	24,53	69,34	42,31	89,47	71,79	71,43	75	0	61,54	20	100	72,73
Nenê Bonilha	Paysandu	1325	1	0	42,45	175	59,38	31,43	2,04	1	0,09	1	0,07	17	29,41	5,882	66,67	50	100	2,11	54,84	37,93	86,1	73,61	94,19	92,61	87,27	68	33,33	73,56	44,44	18,18	84,81
Dé	Mariehamn	2144	5	1	44,64	177	61,35	36,89	2,48	3	0,34	2	0,08	57	40,35	8,772	27,08	29,17	25	5,75	56,93	39,38	72,62	57,24	91,18	70,31	78,37	54,55	33,33	56,76	39,34	30,77	70,48
Fernando Boldrin		772	0	2	36,93	180	43,33	45,83	1,28	0	0,09	0	0	16	18,75	0	28,57	0	40	3,26	42,86	34,34	86,5	74,39	93,65	87,8	89,35	71,43	50	73,91	52,94	37,5	80
Rafael Martins	Santa Clara	1595	7	0	33,53	177	40,68	37,93	1,52	7	0,32	3	0,17	37	40,54	18,919	0	0	0	0,85	40	27,73	72,16	47,14	84,31	75,51	73,6	44,44	66,67	48,48	11,11	40	46,15
Nick Firmino	Atlanta United II	2698	17	4	42,5	180	54,76	38,82	2,97	16	0,31	5	0,17	74	47,3	22,973	18,75	16,67	20	4,04	52,14	39,82	88,05	77,87	95,5	92,79	91,35	47,3	46,15	72,19	63,41	39,13	73,91
Léo Bahia	Almazán	1864	6	0	37,77	176	61,4	27,91	1,57	4	0,22	2	0,1	30	23,33	16,667	20	15	33,33	3,65	51,39	35,57	70,61	58,9	90	61,96	77,65	50	50	54,17	23,08	25	67,74
Lucas Lima	Helsingborg	1402	2	1	38,13	189	43,02	48,35	2,38	2	0,34	1	0,06	32	40,63	6,25	38,46	75	25	4,17	50,77	37,56	70,4	57,14	85,96	69,81	73,3	25	100	55	66,67	100	52,17
Nenê	Juventude	2905	11	4	41,3	181	52,05	21,57	1,05	9	0,24	0	0	78	39,74	14,103	42,59	33,8	60	2,14	47,83	43,14	68,55	56,71	93,39	73,7	77,78	49,32	37,93	55,29	51,52	28,21	77,37
Matheus Alves	Lahti	2216	9	2	39,01	188	56,52	43,67	1,38	7	0,34	4	0,16	51	47,06	17,647	16,13	16,67	15,79	4,22	50,96	34,2	63,59	40,57	90,32	67,44	69,55	47,5	7,69	51,61	33,33	20	60,38
Gustavo Tocantins	Barito Putera	3283	15	4	43,41	179	47,73	43,32	1,01	12	0,4	1	0,03	67	49,25	22,388	37,04	38,1	33,33	2,41	65,91	44,31	83,77	72,5	92,75	86,04	85,96	75	50	77,94	52,78	40	83,33
Julio César	Ironi Tiberias	3185	14	4	35,92	184	55,79	44,19	0,96	13	0,45	8	0,23	90	45,56	15,556	33,33	33,33	33,33	1,07	50	25,95	69,73	49,25	83,9	69,1	70,9	46,15	41,67	52,17	48	41,67	58,7
Patric	Kyoto Sanga	1607	12	1	40,17	189	52,27	47,45	2,07	10	0,49	3	0,17	36	55,56	33,333	28,57	100	0	1,34	45,83	32,23	60,71	52,75	79,07	59,21	61,8	50	0	53,85	54,55	0	64,29
Magno Cruz	Jiangxi Lushan	3090	6	6	37,6	178	56,1	29,03	1,43	6	0,21	0	0	46	41,3	13,043	30,77	40	25	3,38	57,76	36,52	81,98	73,4	89,42	83,4	84,69	60,53	38,89	73,12	48,21	31,58	79,21
Éder	Criciúma	2508	9	2	40,33	179	46,03	28,41	0,89	5	0,28	1	0,04	61	39,34	13,115	44	55	36,67	2,34	63,49	45,69	80,14	78,31	94,55	75,89	85,47	74,07	75	80,65	65,96	75	84,91
Élder Santana	Aktobe	2630	6	6	41,9	186	53,27	45,72	1,57	6	0,26	3	0,1	61	24,59	9,836	27,27	16,67	26,67	2,19	57,81	38,38	71,99	49,32	86,75	61,9	76,45	52,63	25	43,59	46,15	20	81,48
Cassiano	Estoril	2602	9	2	38,55	184	48,51	36,05	1,69	7	0,34	2	0,08	45	40	17,778	20	28,57	9,09	1,65	55,81	37,82	66,78	53,52	88,3	61,76	71,91	28,57	66,67	50	48,39	40	76,32
Ronivaldo	Blau-Weiß Linz	2126	22	4	37,99	173	65,22	39,09	1,9	21	0,79	5	0,21	97	51,55	22,68	37,93	42,86	30	2,58	44,26	33,33	71,14	57,01	86,41	66,88	74,28	33,33	35,29	60,87	43,86	41,18	72,55
E. Paulista	Trat	2559	10	1	38,17	186	50	36,79	1,27	9	0,39	2	0,07	73	42,47	13,699	30	25	33,33	3,9	59,46	38,64	72,09	59,57	93,55	68,52	76,37	52,63	50	57,14	48,48	50	82,22
Matheus Cassini		741	7	1	44,78	172	36,36	28	1,58	7	0,16	1	0,12	13	53,85	53,846	25	66,67	15,38	3,16	61,54	54,93	78,75	58,49	93,62	81,6	85	44,44	40	68,42	37,93	0	78,57
Quirino	Ituano	2389	7	0	31,3	180	48,94	27,91	1,58	7	0,24	1	0,04	60	31,67	11,667	16	14,29	17,65	2,67	47,89	31,11	77,73	62,67	85,92	77,06	82,23	53,85	20	72,41	31,58	30	72,73
Wellington	Avispa Fukuoka	1087	5	0	38,79	186	44	50	2,15	5	0,49	3	0,25	31	32,26	16,129	0	0	0	0,83	30	20,93	66,92	45,45	75,76	74,63	69,08	25	0	46,43	0	20	65,22
Lucas Gaúcho	Independiente Petrolero	1130	1	0	34,4	184	61,54	37,78	0,89	1	0,15	0	0	18	27,78	5,556	25	0	28,57	1,89	52,63	27,85	64,84	53,33	76,74	68,18	67,5	53,33	0	48,15	45,45	33,33	74,07
